,0
0,"('http://www.ufcstats.com/fight-details/3d3e7dc7b4bf2bc4', 'January 23, 2021')"
1,"('http://www.ufcstats.com/fight-details/a5075f4eaee6036f', 'January 23, 2021')"
2,"('http://www.ufcstats.com/fight-details/c4ea3f6fae702459', 'January 23, 2021')"
3,"('http://www.ufcstats.com/fight-details/65352221c0bfe52d', 'January 23, 2021')"
4,"('http://www.ufcstats.com/fight-details/cd08b68f0bafafbf', 'January 23, 2021')"
5,"('http://www.ufcstats.com/fight-details/99dbe9669f31ed91', 'January 23, 2021')"
6,"('http://www.ufcstats.com/fight-details/92f569a6d9374b86', 'January 23, 2021')"
7,"('http://www.ufcstats.com/fight-details/83da743f6dda7dcc', 'January 23, 2021')"
8,"('http://www.ufcstats.com/fight-details/c597fd8bb66d54d8', 'January 23, 2021')"
9,"('http://www.ufcstats.com/fight-details/f3ccbfd7036f3cf3', 'January 23, 2021')"
10,"('http://www.ufcstats.com/fight-details/aaf45b095452be23', 'January 23, 2021')"
11,"('http://www.ufcstats.com/fight-details/61bedad39b15db7a', 'January 20, 2021')"
12,"('http://www.ufcstats.com/fight-details/dd34dd337e637767', 'January 20, 2021')"
13,"('http://www.ufcstats.com/fight-details/4f6d3cdf2c77fb57', 'January 20, 2021')"
14,"('http://www.ufcstats.com/fight-details/a003e8305d4dbdc8', 'January 20, 2021')"
15,"('http://www.ufcstats.com/fight-details/57e784028ef2c17d', 'January 20, 2021')"
16,"('http://www.ufcstats.com/fight-details/d27ac1bc677b89cf', 'January 20, 2021')"
17,"('http://www.ufcstats.com/fight-details/ac475de5a3d0d7e2', 'January 20, 2021')"
18,"('http://www.ufcstats.com/fight-details/4abcf14faa7f92f2', 'January 20, 2021')"
19,"('http://www.ufcstats.com/fight-details/ddbe6fd66d7f9e35', 'January 20, 2021')"
20,"('http://www.ufcstats.com/fight-details/76b61ff4c9760f79', 'January 20, 2021')"
21,"('http://www.ufcstats.com/fight-details/4e451881e0e47b05', 'January 20, 2021')"
22,"('http://www.ufcstats.com/fight-details/031e6624f96aceb8', 'January 20, 2021')"
23,"('http://www.ufcstats.com/fight-details/11558384f80f6506', 'January 20, 2021')"
24,"('http://www.ufcstats.com/fight-details/ae38fb2a6b6a0cc1', 'January 20, 2021')"
25,"('http://www.ufcstats.com/fight-details/a4817b7e46028b4a', 'January 16, 2021')"
26,"('http://www.ufcstats.com/fight-details/6b0da0b1cda7799f', 'January 16, 2021')"
27,"('http://www.ufcstats.com/fight-details/aeb7ff8ce6e1beac', 'January 16, 2021')"
28,"('http://www.ufcstats.com/fight-details/775c1f401815bbd8', 'January 16, 2021')"
29,"('http://www.ufcstats.com/fight-details/358f816aff469270', 'January 16, 2021')"
30,"('http://www.ufcstats.com/fight-details/97ad63e644757cf4', 'January 16, 2021')"
31,"('http://www.ufcstats.com/fight-details/0165bd3c26f0c076', 'January 16, 2021')"
