r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,winner,title_bout,win_con,weight_class,num_rounds,round_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Michael Chiesa,Neil Magny,0,0,24,12,0.46,0.24,93,52,4 of 6,1 of 3,0.66,0.33,0,1,0,0,921,135,0.375,0.0,0.0,1.0,0.0,0.0,1,1,0,0,2,0,r,False,Decision - Unanimous,Welterweight,5,5,0.744,0.5416666666666666,0.2,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
Warlley Alves,Mounir Lazzez,1,0,17,2,0.8,1.0,24,2,1 of 1,0 of 0,1.0,0.0,0,0,0,0,96,42,0.75,1.0,0.875,1.0,1.0,0.0,7,0,4,2,6,0,r,False,KO/TKO,Welterweight,1,2,0.8,1.0,0.7777777777777778,0.0,0.75,1.0,0.875,1.0,1.0,0.0,1.0,0.0,0.6666666666666666
Ike Villanueva,Vinicius Moreira,1,0,24,24,0.42,0.57,24,24,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.5,0.25,0.0,0.0,0.0,0.5,3,2,0,0,0,0,r,False,KO/TKO,Light Heavyweight,2,0,0.42857142857142855,0.5714285714285714,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Roxanne Modafferi,Viviane Araujo,0,0,46,86,0.25,0.43,49,100,0 of 5,4 of 4,0.0,1.0,0,1,0,0,39,186,0.24,0.40425531914893614,0.5,1.0,0.0,0.0,12,19,1,1,0,0,b,False,Decision - Unanimous,Women's Flyweight,3,5,0.2538860103626943,0.4672897196261682,0.24,0.4318181818181818,0.24,0.40425531914893614,0.5,1.0,0.0,0.0,0.0,0.0,0.5
Matt Schnell,Tyson Nam,0,0,85,58,0.39,0.3,85,58,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.4,0.19402985074626866,0.8,0.6666666666666666,0.5,0.8333333333333334,31,22,2,0,0,0,r,False,Decision - Split,Flyweight,3,5,0.397196261682243,0.3005181347150259,0.41333333333333333,0.27848101265822783,0.4,0.19402985074626866,0.8,0.6666666666666666,0.5,0.8333333333333334,0.0,0.0,1.0
Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,0.41,0.36,60,51,1 of 4,1 of 2,0.25,0.5,0,0,0,0,111,81,0.325,0.30303030303030304,1.0,0.8571428571428571,1.0,0.3333333333333333,11,12,2,5,5,0,r,False,Decision - Unanimous,Featherweight,3,5,0.4580152671755725,0.4214876033057851,0.3548387096774194,0.3157894736842105,0.325,0.30303030303030304,1.0,0.8571428571428571,1.0,0.3333333333333333,0.5,0.0,0.5
Omari Akhmedov,Tom Breese,0,0,25,1,0.65,0.25,73,6,2 of 5,0 of 1,0.4,0.0,1,3,0,1,274,60,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,r,False,Submission,Middleweight,2,1,0.8021978021978022,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Simon,Gaetano Pirrello,0,0,17,6,0.53,0.42,50,10,7 of 10,0 of 0,0.7,0.0,1,0,0,0,419,0,0.5,0.42857142857142855,1.0,0.0,0.0,1.0,0,3,1,1,5,0,r,False,Submission,Bantamweight,2,4,0.7246376811594203,0.5555555555555556,0.0,0.5,0.5,0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Su Mudaerji,Zarrukh Adashev,0,0,50,28,0.39,0.22,50,28,0 of 0,0 of 1,0.0,0.0,0,0,0,0,0,2,0.25,0.13157894736842105,0.5,0.14285714285714285,0.75,0.5,18,8,0,0,0,0,r,False,Decision - Unanimous,Flyweight,3,5,0.3937007874015748,0.22764227642276422,0.36,0.16326530612244897,0.25,0.13157894736842105,0.5,0.14285714285714285,0.75,0.5,0.0,0.0,0.0
Dalcha Lungiambula,Markus Perez,0,0,29,25,0.44,0.51,61,50,1 of 2,0 of 1,0.5,0.0,0,1,0,0,406,261,0.125,0.35714285714285715,0.6666666666666666,0.8181818181818182,0.0,0.0,3,9,3,5,0,0,r,False,Decision - Unanimous,Middleweight,3,5,0.6224489795918368,0.6666666666666666,0.1875,0.5,0.125,0.35714285714285715,0.6666666666666666,0.8181818181818182,0.0,0.0,0.0,0.0,0.5
