,fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,avg_ctrl
0,Shamil Abdurakhimov,20,5,0,0,75,235,76,Orthodox,1981-09-02,39,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,92.25
1,Daichi Abe,6,2,0,0,61,170,71,Orthodox,1991-11-27,29,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,7.333333333333333
2,Klidson Abreu,15,4,0,0,72,205,74,Orthodox,1992-12-24,28,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,62.0
3,Juan Adams,5,3,0,0,77,265,80,Orthodox,1992-01-16,29,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,90.0
4,Anthony Adams,8,2,0,0,73,185,76,Orthodox,1988-01-13,33,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,0
5,Zarrukh Adashev,3,3,0,0,65,125,65,Southpaw,1992-07-29,28,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,1.0
6,Israel Adesanya,20,0,0,9,76,185,80,Switch,1989-07-22,31,4.1,0.5,2.33,0.65,0.0,0.0,0.86,0.3,19.11111111111111
7,Mariya Agapova,9,2,0,0,66,125,68,Southpaw,1997-04-07,23,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,107.5
8,Jessica Aguilar,20,8,0,0,63,115,63,Orthodox,1982-05-08,38,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,135.2
9,Kevin Aguilar,17,4,0,0,67,155,73,Orthodox,1988-09-07,32,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,54.0
10,Christian Aguilera,14,7,0,0,69,170,72,Switch,1991-11-25,29,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,0.0
11,Omari Akhmedov,21,5,1,1,72,185,73,Orthodox,1987-10-12,33,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,164.69230769230768
12,Yoshihiro Akiyama,14,6,0,0,61,170,75,Orthodox,1975-07-29,45,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,190.0
13,Rostem Akman,6,2,0,0,61,170,72,Switch,1991-12-19,29,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,101.5
14,Mostapha Al-Turk,6,6,0,0,74,245,77,Orthodox,1973-07-14,47,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,32.333333333333336
15,Herdem Alacabek,5,1,0,0,74,205,75,Orthodox,1991-06-07,29,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,0
16,Heili Alateng,14,8,1,0,65,135,66,Orthodox,1991-12-14,29,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,123.66666666666667
17,Amir Albazi,14,1,0,2,65,125,68,Orthodox,1993-10-27,27,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,179.5
18,John Albert,6,5,0,0,68,135,68,Orthodox,1986-10-13,34,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,41.4
19,Junior Albini,14,6,0,0,75,264,74,Orthodox,1991-03-15,29,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,89.6
20,Aleksandra Albu,3,2,0,0,62,115,63,Orthodox,1990-07-14,30,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,95.5
21,Iuri Alcantara,35,10,0,0,69,135,71,Southpaw,1980-08-04,40,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,93.88235294117646
22,Ildemar Alcantara,21,11,0,0,74,185,78,Orthodox,1982-11-18,38,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,140.71428571428572
23,Irene Aldana,12,6,0,0,69,135,68,Orthodox,1988-03-26,32,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,12.333333333333334
24,Hector Aldana,4,3,0,0,61,170,72,Orthodox,1988-08-17,32,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,21.0
25,Jose Aldo,29,7,0,1,67,135,70,Orthodox,1986-09-09,34,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,117.05882352941177
26,JJ Aldrich,8,4,0,0,65,125,67,Southpaw,1992-09-29,28,3.88,0.4,4.68,0.62,0.31,0.25,0.53,0.0,95.57142857142857
27,Jim Alers,13,3,0,0,69,145,71,Orthodox,1986-10-14,34,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,227.66666666666666
28,John Alessio,35,17,0,0,61,155,72,Orthodox,1979-07-05,41,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,77.8
29,Houston Alexander,17,15,1,0,72,205,72,Orthodox,1972-03-22,48,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,18.5
30,Marcio Alexandre Junior,17,4,0,1,72,185,75,Southpaw,1989-05-05,31,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,38.666666666666664
31,Bill Algeo,14,5,0,1,72,145,73,Switch,1989-06-09,31,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,167.5
32,Sultan Aliev,15,3,0,1,61,170,74,Orthodox,1984-09-17,36,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,261.75
33,John Allan,13,6,0,0,73,205,75,Orthodox,1993-02-22,27,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,15.0
34,Arnold Allen,16,1,0,7,68,145,70,Southpaw,1994-01-22,27,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,131.57142857142858
35,Brendan Allen,15,4,0,0,74,185,75,Orthodox,1995-12-28,25,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,191.0
36,Ben Alloway,18,8,0,0,61,170,76,Orthodox,1981-02-19,39,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,38.666666666666664
37,Ricardo Almeida,13,5,0,0,72,170,74,Orthodox,1976-11-29,44,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,290.72727272727275
38,Thomas Almeida,22,4,0,0,67,145,70,Southpaw,1991-07-31,29,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,4.111111111111111
39,Shamil Abdurakhimov,20,5,0,0,75,235,76,Orthodox,1981-09-02,39,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,92.25
40,Daichi Abe,6,2,0,0,61,170,71,Orthodox,1991-11-27,29,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,7.333333333333333
41,Klidson Abreu,15,4,0,0,72,205,74,Orthodox,1992-12-24,28,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,62.0
42,Juan Adams,5,3,0,0,77,265,80,Orthodox,1992-01-16,29,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,90.0
43,Anthony Adams,8,2,0,0,73,185,76,Orthodox,1988-01-13,33,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,0
44,Zarrukh Adashev,3,3,0,0,65,125,65,Southpaw,1992-07-29,28,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,1.0
45,Israel Adesanya,20,0,0,9,76,185,80,Switch,1989-07-22,31,4.1,0.5,2.33,0.65,0.0,0.0,0.86,0.3,19.11111111111111
46,Mariya Agapova,9,2,0,0,66,125,68,Southpaw,1997-04-07,23,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,107.5
47,Jessica Aguilar,20,8,0,0,63,115,63,Orthodox,1982-05-08,38,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,135.2
48,Kevin Aguilar,17,4,0,0,67,155,73,Orthodox,1988-09-07,32,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,54.0
49,Christian Aguilera,14,7,0,0,69,170,72,Switch,1991-11-25,29,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,0.0
