winner,win_con,title_bout,r_fighter,b_fighter,weight_class,r_str_acc,b_str_acc,r_td,b_td,r_SLpM,b_SLpM,r_SApM,b_SApM,r_consec_wins,b_consec_wins,r_wins,b_wins,r_losses,b_losses,r_reach_adv,r_stance,b_stance
b,KO/TKO,False,Curtis Blaydes,Derrick Lewis,Heavyweight,0.53,0.3,0,0,4.666666666666667,1.1666666666666667,1.1666666666666667,4.666666666666667,4,3,9,15,2,5,1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Ketlen Vieira,Yana Kunitskaya,Women's Bantamweight,0.43,0.78,3,0,0.4666666666666667,3.1333333333333333,3.1333333333333333,0.4666666666666667,1,1,5,3,1,2,0.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Charles Rosa,Darrick Minner,Featherweight,0.6,0.75,0,4,1.0,3.0,3.0,1.0,1,1,4,1,4,1,0.0,Switch,Orthodox
b,KO/TKO,False,Aleksei Oleinik,Chris Daukaus,Heavyweight,0.5,0.6,0,0,5.0,34.0,34.0,5.0,0,2,8,2,5,0,4.0,Orthodox,Orthodox
r,Decision - Majority,False,Phil Hawes,Nassourdine Imavov,Middleweight,0.57,0.61,4,0,2.066666666666667,3.8,3.8,2.066666666666667,1,1,1,1,0,0,2.0,Orthodox,Orthodox
b,Submission,False,Andrei Arlovski,Tom Aspinall,Heavyweight,0.36,0.61,0,1,3.3333333333333335,6.166666666666667,6.166666666666667,3.3333333333333335,2,2,19,2,13,0,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Jared Gordon,Danny Chavez,Featherweight,0.62,0.34,2,1,5.466666666666667,2.6,2.6,5.466666666666667,1,1,4,1,3,0,1.0,Orthodox,Orthodox
b,KO/TKO,False,Eddie Wineland,John Castaneda,Bantamweight,0.25,0.73,1,0,4.25,10.5,10.5,4.25,0,0,6,0,8,1,-2.0,Orthodox,Switch
b,KO/TKO,False,Nate Landwehr,Julian Erosa,Featherweight,0.64,0.65,0,0,9.0,15.0,15.0,9.0,1,1,1,2,1,4,-2.0,Orthodox,Southpaw
b,KO/TKO,False,Shana Dobson,Casey O'Neill,Women's Flyweight,0.57,0.72,0,4,2.0,6.125,6.125,2.0,1,0,2,0,3,0,0.0,Orthodox,
r,KO/TKO,False,Aiemann Zahabi,Drako Rodriguez,Bantamweight,0.81,0.33,0,0,3.0,3.6666666666666665,3.6666666666666665,3.0,0,0,1,0,2,0,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Serghei Spivac,Jared Vanderaa,Heavyweight,0.7,0.54,3,0,5.666666666666667,1.4444444444444444,1.4444444444444444,5.666666666666667,1,0,2,0,2,0,-2.0,Orthodox,Orthodox
