r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,date,winner,title_bout,win_con,weight_class,num_rounds,round_length,fight_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Curtis Blaydes,Derrick Lewis,0,1,28,7,0.53,0.3,28,7,0,0,0.0,0.0,0,0,0,0,15,0,18,6,3,1,7,0,25,4,3,1,0,2,"February 20, 2021",b,False,KO/TKO,Heavyweight,2,1,6,0.5384615384615384,0.30434782608695654,0.5319148936170213,0.2,0.42857142857142855,0.2857142857142857,1.0,0.5,1.0,0.0,0.0,1.0,0.6
Ketlen Vieira,Yana Kunitskaya,0,0,7,47,0.43,0.78,35,215,3,0,0.37,0.0,0,0,0,0,518,309,3,7,3,30,1,10,3,8,4,21,0,18,"February 20, 2021",b,False,Decision - Unanimous,Women's Bantamweight,3,5,15,0.6862745098039216,0.8704453441295547,0.2727272727272727,0.7272727272727273,0.3,0.4666666666666667,0.75,0.8571428571428571,0.5,1.0,0.0,0.72,0.8
Charles Rosa,Darrick Minner,0,1,15,45,0.6,0.75,40,96,0,4,0.0,0.8,2,3,0,0,0,754,9,35,4,5,2,5,8,21,0,5,7,19,"February 20, 2021",b,False,Decision - Unanimous,Featherweight,3,5,15,0.7843137254901961,0.8205128205128205,0.47058823529411764,0.6774193548387096,0.5294117647058824,0.7142857142857143,1.0,1.0,0.5,0.8333333333333334,0.875,0.8636363636363636,0.0
Aleksei Oleinik,Chris Daukaus,0,0,5,34,0.5,0.6,6,34,0,0,0.0,0.0,0,0,0,0,24,19,3,32,1,2,1,0,5,28,0,2,0,4,"February 20, 2021",b,False,KO/TKO,Heavyweight,1,1,1,0.5454545454545454,0.6071428571428571,0.5,0.5714285714285714,0.375,0.5925925925925926,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Phil Hawes,Nassourdine Imavov,0,0,31,57,0.57,0.61,101,87,4,0,0.57,0.0,0,0,0,0,666,7,13,39,7,14,11,4,23,29,7,27,1,1,"February 20, 2021",r,False,Decision - Majority,Middleweight,3,5,15,0.7890625,0.7016129032258065,0.5476190476190477,0.46774193548387094,0.41935483870967744,0.5492957746478874,0.7777777777777778,0.8235294117647058,0.7857142857142857,0.8,1.0,1.0,0.6363636363636364
Andrei Arlovski,Tom Aspinall,0,0,20,37,0.36,0.61,22,41,0,1,0.0,1.0,0,1,0,0,0,137,8,22,7,6,5,9,17,24,3,13,0,0,"February 20, 2021",b,False,Submission,Heavyweight,2,1,6,0.38596491228070173,0.640625,0.3469387755102041,0.6,0.2,0.5,0.7777777777777778,0.8571428571428571,0.8333333333333334,1.0,0.0,0.0,0.5
Jared Gordon,Danny Chavez,0,0,82,39,0.62,0.34,138,42,2,1,0.28,1.0,0,0,0,0,367,10,41,23,19,5,22,11,67,38,6,1,9,0,"February 20, 2021",r,False,Decision - Unanimous,Featherweight,3,5,15,0.7225130890052356,0.3620689655172414,0.6090909090909091,0.3392857142857143,0.4606741573033708,0.25274725274725274,0.95,0.625,1.0,0.7857142857142857,0.6923076923076923,0.0,0.75
Eddie Wineland,John Castaneda,0,1,17,42,0.25,0.73,17,44,1,0,1.0,0.0,0,0,0,0,12,4,10,23,3,4,4,15,16,34,0,2,1,6,"February 20, 2021",b,False,KO/TKO,Bantamweight,1,4,4,0.25757575757575757,0.7457627118644068,0.25396825396825395,0.6938775510204082,0.2,0.6764705882352942,0.5,0.5714285714285714,0.4,0.9375,0.3333333333333333,1.0,0.0
Nate Landwehr,Julian Erosa,0,1,9,15,0.64,0.65,9,17,0,0,0.0,0.0,0,0,0,0,0,1,5,11,1,2,3,2,6,12,3,2,0,1,"February 20, 2021",b,False,KO/TKO,Featherweight,1,0,0,0.6428571428571429,0.68,0.5454545454545454,0.7058823529411765,0.5555555555555556,0.6111111111111112,1.0,0.6666666666666666,0.75,1.0,0.0,1.0,1.0
Shana Dobson,Casey O'Neill,0,0,16,49,0.57,0.72,27,132,0,4,0.0,0.66,0,1,1,0,13,446,9,44,5,3,2,2,11,17,3,1,2,31,"February 20, 2021",b,False,KO/TKO,Women's Flyweight,2,3,8,0.6428571428571429,0.7213114754098361,0.55,0.7083333333333334,0.42857142857142855,0.7096774193548387,1.0,0.75,1.0,1.0,0.5,0.7209302325581395,0.75
