fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,avg_ctrl,weight_class
Shamil Abdurakhimov,20,5,0,0,75,235,76,Orthodox,1981-09-02,39,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,92.25,Heavyweight
Daichi Abe,6,2,0,0,61,170,71,Orthodox,1991-11-27,29,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,7.33,Welterweight
Klidson Abreu,15,4,0,0,72,205,74,Orthodox,1992-12-24,28,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,62.0,Light Heavyweight
Juan Adams,5,3,0,0,77,265,80,Orthodox,1992-01-16,29,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,90.0,Heavyweight
Anthony Adams,8,2,0,0,73,185,76,Orthodox,1988-01-13,33,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,0,Middleweight
Zarrukh Adashev,3,3,0,0,65,125,65,Southpaw,1992-07-29,28,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,1.0,Flyweight
Israel Adesanya,20,0,0,9,76,185,80,Switch,1989-07-22,31,4.1,0.5,2.33,0.65,0.0,0.0,0.86,0.3,19.11,Middleweight
Mariya Agapova,9,2,0,0,66,125,68,Southpaw,1997-04-07,23,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,107.5,Flyweight
Jessica Aguilar,20,8,0,0,63,115,63,Orthodox,1982-05-08,38,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,135.2,Strawweight
Kevin Aguilar,17,4,0,0,67,155,73,Orthodox,1988-09-07,32,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,54.0,Lightweight
Christian Aguilera,14,7,0,0,69,170,72,Switch,1991-11-25,29,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,0.0,Welterweight
Omari Akhmedov,21,5,1,1,72,185,73,Orthodox,1987-10-12,33,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,164.69,Middleweight
Yoshihiro Akiyama,14,6,0,0,61,170,75,Orthodox,1975-07-29,45,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,190.0,Welterweight
Rostem Akman,6,2,0,0,61,170,72,Switch,1991-12-19,29,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,101.5,Welterweight
Mostapha Al-Turk,6,6,0,0,74,245,77,Orthodox,1973-07-14,47,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,32.33,Heavyweight
Herdem Alacabek,5,1,0,0,74,205,75,Orthodox,1991-06-07,29,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,0,Light Heavyweight
Heili Alateng,14,8,1,0,65,135,66,Orthodox,1991-12-14,29,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,123.67,Bantamweight
Amir Albazi,14,1,0,2,65,125,68,Orthodox,1993-10-27,27,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,179.5,Flyweight
John Albert,6,5,0,0,68,135,68,Orthodox,1986-10-13,34,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,41.4,Bantamweight
Junior Albini,14,6,0,0,75,264,74,Orthodox,1991-03-15,29,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,89.6,Heavyweight
Aleksandra Albu,3,2,0,0,62,115,63,Orthodox,1990-07-14,30,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,95.5,Strawweight
Iuri Alcantara,35,10,0,0,69,135,71,Southpaw,1980-08-04,40,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,93.88,Bantamweight
Ildemar Alcantara,21,11,0,0,74,185,78,Orthodox,1982-11-18,38,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,140.71,Middleweight
Irene Aldana,12,6,0,0,69,135,68,Orthodox,1988-03-26,32,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,12.33,Bantamweight
Hector Aldana,4,3,0,0,61,170,72,Orthodox,1988-08-17,32,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,21.0,Welterweight
Jose Aldo,29,7,0,1,67,135,70,Orthodox,1986-09-09,34,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,117.06,Bantamweight
JJ Aldrich,8,4,0,0,65,125,67,Southpaw,1992-09-29,28,3.88,0.4,4.68,0.62,0.31,0.25,0.53,0.0,95.57,Flyweight
Jim Alers,13,3,0,0,69,145,71,Orthodox,1986-10-14,34,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,227.67,Featherweight
John Alessio,35,17,0,0,61,155,72,Orthodox,1979-07-05,41,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,77.8,Lightweight
Houston Alexander,17,15,1,0,72,205,72,Orthodox,1972-03-22,48,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,18.5,Light Heavyweight
Marcio Alexandre Junior,17,4,0,1,72,185,75,Southpaw,1989-05-05,31,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,38.67,Middleweight
Bill Algeo,14,5,0,1,72,145,73,Switch,1989-06-09,31,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,167.5,Featherweight
Sultan Aliev,15,3,0,1,61,170,74,Orthodox,1984-09-17,36,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,261.75,Welterweight
John Allan,13,6,0,0,73,205,75,Orthodox,1993-02-22,28,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,15.0,Light Heavyweight
Arnold Allen,16,1,0,7,68,145,70,Southpaw,1994-01-22,27,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,131.57,Featherweight
Brendan Allen,15,4,0,0,74,185,75,Orthodox,1995-12-28,25,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,191.0,Middleweight
Ben Alloway,18,8,0,0,61,170,76,Orthodox,1981-02-19,40,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,38.67,Welterweight
Ricardo Almeida,13,5,0,0,72,170,74,Orthodox,1976-11-29,44,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,290.73,Welterweight
Thomas Almeida,22,4,0,0,67,145,70,Southpaw,1991-07-31,29,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,4.11,Featherweight
Sarah Alpar,9,5,0,0,64,135,63,Southpaw,1991-06-01,29,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,208.0,Bantamweight
Ali AlQaisi,8,5,0,0,66,135,68,Orthodox,1990-09-23,30,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,237.5,Bantamweight
Eddie Alvarez,29,6,0,0,69,155,69,Orthodox,1984-01-11,37,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,138.14,Lightweight
Jaime Alvarez,6,1,0,1,68,125,69,Orthodox,1988-03-08,32,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,0,Flyweight
Joel Alvarez,18,2,0,3,75,155,77,Orthodox,1994-03-02,26,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,4.25,Lightweight
Thiago Alves,23,15,0,0,69,170,70,Orthodox,1983-10-03,37,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,68.56,Welterweight
Warlley Alves,15,4,0,1,61,170,72,Orthodox,1991-01-04,30,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,159.83,Welterweight
Rafael Alves,19,9,0,1,68,145,68,Orthodox,1990-10-10,30,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,0,Featherweight
Sam Alvey,33,14,1,0,74,205,75,Southpaw,1986-05-06,34,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,34.32,Light Heavyweight
Adlan Amagov,14,2,1,3,74,170,76,Orthodox,1986-10-30,34,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,137.0,Welterweight
Alen Amedovski,8,2,0,0,61,185,74,Orthodox,1988-04-06,32,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,6.5,Middleweight
Makwan Amirkhani,16,5,0,0,61,145,72,Southpaw,1988-11-08,32,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,190.89,Featherweight
Eryk Anders,13,5,0,0,73,185,75,Southpaw,1987-04-21,33,3.02,0.45,4.18,0.51,1.34,0.34,0.8,0.1,158.9,Middleweight
Corey Anderson,14,5,0,0,75,205,79,Orthodox,1989-09-22,31,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,267.73,Light Heavyweight
Megan Anderson,11,4,0,2,72,145,72,Orthodox,1990-02-11,31,1.82,0.46,2.94,0.38,0.56,0.33,0.53,0.6,43.8,Featherweight
Jessica Andrade,21,8,0,1,61,115,62,Orthodox,1991-09-25,29,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,183.17,Strawweight
Viscardi Andrade,19,6,0,2,61,170,75,Orthodox,1984-03-08,36,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,147.25,Welterweight
Dylan Andrews,18,7,0,0,73,185,74,Switch,1979-11-15,41,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,69.4,Middleweight
Collin Anglin,8,1,0,1,69,145,71,Orthodox,1993-02-20,28,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,0,Featherweight
Magomed Ankalaev,14,1,0,5,75,205,75,Orthodox,1992-06-02,28,3.58,0.56,1.36,0.68,0.62,0.33,0.85,0.0,181.83,Light Heavyweight
Nina Ansaroff,10,6,0,0,65,115,64,Orthodox,1985-12-03,35,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,124.29,Strawweight
Gadzhimurad Antigulov,20,8,0,0,61,205,70,Orthodox,1987-02-09,34,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,101.5,Light Heavyweight
Adam Antolin,12,3,0,1,65,125,63,Orthodox,1982-02-28,38,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,0,Flyweight
Shinsho Anzai,10,3,0,0,67,170,70,Orthodox,1985-12-01,35,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,184.75,Welterweight
Felipe Arantes,18,10,1,0,68,135,73,Orthodox,1988-02-09,33,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,128.82,Bantamweight
Igor Araujo,25,9,0,0,73,170,77,Orthodox,1980-12-06,40,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,247.25,Welterweight
Viviane Araujo,10,2,0,2,64,125,68,Orthodox,1986-11-21,34,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,87.6,Flyweight
Julio Arce,16,4,0,0,67,145,70,Southpaw,1989-10-27,31,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,88.8,Featherweight
Andrei Arlovski,30,20,0,0,75,240,77,Orthodox,1979-02-04,42,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,48.0,Heavyweight
Austin Arnett,16,6,0,0,72,145,72,Orthodox,1991-10-22,29,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,106.5,Featherweight
Akbarh Arreola,23,11,1,0,61,155,71,Southpaw,1983-01-14,38,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,43.5,Lightweight
Matt Arroyo,3,3,0,0,61,170,72,Orthodox,1982-09-01,38,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,104.33,Welterweight
Antonio Arroyo,9,4,0,0,75,185,73,Orthodox,1989-07-01,31,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3,165.5,Middleweight
Teddy Ash,14,5,0,0,73,185,73,Switch,1989-12-27,31,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,0,Middleweight
Askar Askar,11,1,0,0,67,145,69,Orthodox,1994-08-19,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Featherweight
Askar Askarov,12,0,1,2,66,125,67,Orthodox,1992-10-09,28,3.2,0.52,2.51,0.55,2.0,0.18,0.64,0.0,278.0,Flyweight
Cyril Asker,9,4,0,0,72,247,74,Orthodox,1985-12-24,35,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,98.4,Heavyweight
Scott Askham,14,4,0,0,75,185,75,Southpaw,1988-05-20,32,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,78.5,Middleweight
Ben Askren,19,2,0,0,61,170,73,Orthodox,1984-07-18,36,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,77.67,Welterweight
Tom Aspinall,10,2,0,3,77,256,78,Orthodox,1993-04-11,27,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8,56.33,Heavyweight
Junior Assuncao,16,6,0,0,69,145,72,Orthodox,1981-06-24,39,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,238.4,Featherweight
Raphael Assuncao,27,8,0,0,65,135,66,Orthodox,1982-07-19,38,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,77.88,Bantamweight
Rich Attonito,10,5,0,0,61,170,72,Orthodox,1977-06-16,43,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,185.4,Welterweight
Olivier Aubin-Mercier,11,5,0,0,69,155,70,Southpaw,1989-02-23,32,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,217.75,Lightweight
Marcus Aurelio,22,10,0,0,61,155,74,Orthodox,1973-08-18,47,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,90.17,Lightweight
Blas Avena,8,7,0,0,72,170,74,Orthodox,1983-06-30,37,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,0,Welterweight
Julia Avila,8,2,0,0,67,135,68,Orthodox,1988-05-11,32,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0,155.0,Bantamweight
Jessin Ayari,16,6,0,0,72,155,73,Orthodox,1992-05-31,28,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,15.75,Lightweight
Abu Azaitar,14,1,1,1,69,185,76,Orthodox,1986-03-10,34,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0,198.0,Middleweight
Ottman Azaitar,13,0,0,2,68,155,71,Switch,1990-02-20,31,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0,8.5,Lightweight
Hunter Azure,9,1,0,1,68,145,69,Orthodox,1992-03-02,28,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,177.33,Featherweight
Seth Baczynski,20,14,0,0,75,170,75,Orthodox,1981-10-26,39,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,115.64,Welterweight
Ryan Bader,23,5,0,2,74,205,74,Orthodox,1983-06-07,37,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,229.5,Light Heavyweight
Miguel Baeza,10,0,0,4,74,170,74,Orthodox,1992-08-23,28,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,42.0,Welterweight
Ali Bagautinov,15,6,0,0,64,125,65,Orthodox,1985-06-10,35,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,272.43,Flyweight
